ID,Name,Age,Gender,Income
1,Ara,0.08333333333333326,Female,1.0
2,Dhan,0.0,Male,0.0
3,Denzel,0.4166666666666665,Male,0.16666666666666663
4,Julie,0.4166666666666665,Female,0.37777777777777777
5,Chen,0.5245098039215685,Female,0.33333333333333337
6,Kenji,0.33333333333333326,Male,0.0
7,Myca,0.833333333333333,Female,0.33333333333333337
8,Aira,1.0,Female,0.5
9,Gilbert,0.5245098039215685,Male,0.41666666666666663
10,Sal,0.0,Male,0.37777777777777777
11,Lester,0.08333333333333326,Male,0.0
12,Clarenz,0.75,Male,0.16666666666666663
13,Arje,0.833333333333333,Male,0.8333333333333334
14,Nath,0.5,Male,0.30000000000000004
15,Neslie,0.5245098039215685,Female,0.5
16,Anna,0.33333333333333326,Female,0.33333333333333337
17,Jim,0.583333333333333,Male,0.6666666666666666
18,Jarrah,0.75,Female,0.9166666666666666
19,June,1.0,Male,0.16666666666666663
20,Stacy,1.0,Female,0.16666666666666663
